country,Happiness_Score,Life_Satis,Pos_Emotion,Neg_Emotion,GDP_per_capita,Healthy_Life_Exp,Life_Freedom,Social_Support,Govt_Conf,Generosity,Percep_Corruption
Afghanistan,3.20329999923706,2.69430327415466,0.42412531375884993,0.404904395341873,0.349630922079086,0.360616266727448,0.18676777184009552,0.512259542942047,0.364666402339935,0.03663177043199519,0.4762404505163432
Albania,4.7185997962951705,5.00440263748169,0.7132995724678041,0.318996727466583,0.94710111618042,0.8742084503173829,0.6037756651639934,0.765636205673218,0.43533796072006203,0.09177192253991984,0.46310666948556917
Argentina,6.086299896240231,5.79279661178589,0.8203096985816959,0.320502072572708,1.09151566028595,0.880779325962067,0.658266067504883,1.1657095849514,0.261352270841599,-0.07050841301679608,0.4524763356894257
Armenia,4.55940008163452,5.06244850158691,0.581487715244293,0.45484027266502397,0.850108981132507,0.8149282932281491,0.5451343804597855,0.9346944391727451,0.6708276271820071,-0.027037851512431856,0.3703108429908754
Australia,7.22800016403198,7.17699337005615,0.759018838405609,0.187456369400024,1.37154543399811,1.03553199768066,0.7365998923778534,1.244047343730926,0.46883687376975997,0.23467228561639802,0.3473048359155655
Austria,7.24599981307983,7.396001815795901,0.752350389957428,0.22605879604816395,1.3755419254302998,1.0157766342163101,0.7180933952331545,1.193445295095444,0.48867872357368497,0.1475595124065877,0.3746408149600025
Azerbaijan,5.2076997756958,5.16799545288086,0.592575371265411,0.191391661763191,1.04280292987823,0.7688729763031009,0.561960771679878,0.9642824828624705,0.8343719244003299,-0.10816168412566197,0.37167286872863753
Bangladesh,4.4558000564575195,4.4992170333862305,0.541344702243805,0.36123779416084295,0.562269628047943,0.7227285504341129,0.714431196451187,0.8169005513191225,0.8316931128501891,0.06388216279447065,0.4224114194512365
Belarus,5.32250022888184,5.23376989364624,0.450332850217819,0.235728621482849,1.06702744960785,0.7886686325073241,0.439234137535095,1.185005724430082,0.421278685331345,-0.04386615380644803,0.4300242587924006
Belgium,6.9229998588562,6.89217185974121,0.7495627403259281,0.250297337770462,1.3556736707687398,0.9861642718315121,0.6404728591442109,1.2170608639717089,0.44194453954696705,0.0162596479058265,0.4200384169816976
Benin,4.88320016860962,5.81982707977295,0.6466551423072809,0.467871814966202,0.39327305555343606,0.39660194516181896,0.5313526690006255,0.470502629876137,0.6392197608947751,0.10002760402858266,0.4140221662819388
Bolivia,5.77930021286011,5.91573429107666,0.741972625255585,0.387468874454498,0.7756845951080319,0.706299722194672,0.6873684823513035,1.0181765854358664,0.39958822727203397,0.024496268481015958,0.4252470023930071
Bosnia and Herzegovina,5.38649988174438,5.88740110397339,0.642939507961273,0.27736505866050704,0.9450775384902951,0.8445622324943539,0.4355813786387445,1.0237479209899905,0.25409716367721596,0.1937580853700635,0.45919038425199704
